Series_Title,IMDB_Rating,No_of_Votes
The Shawshank Redemption,9.3,2343110
The Godfather,9.2,1620367
The Dark Knight,9,2303232
The Godfather: Part II,9,1129952
12 Angry Men,9,689845
The Lord of the Rings: The Return of the King,8.9,1642758
Pulp Fiction,8.9,1826188
Schindler's List,8.9,1213505
Inception,8.8,2067042
Fight Club,8.8,1854740
The Lord of the Rings: The Fellowship of the Ring,8.8,1661481
Forrest Gump,8.8,1809221
"Il buono, il brutto, il cattivo",8.8,688390
The Lord of the Rings: The Two Towers,8.7,1485555
The Matrix,8.7,1676426
Goodfellas,8.7,1020727
Star Wars: Episode V - The Empire Strikes Back,8.7,1159315
One Flew Over the Cuckoo's Nest,8.7,918088
Hamilton,8.6,55291
Gisaengchung,8.6,552778
Soorarai Pottru,8.6,54995
Interstellar,8.6,1512360
Cidade de Deus,8.6,699256
Sen to Chihiro no kamikakushi,8.6,651376
Saving Private Ryan,8.6,1235804
The Green Mile,8.6,1147794
La vita è bella,8.6,623629
Se7en,8.6,1445096
The Silence of the Lambs,8.6,1270197
Star Wars,8.6,1231473
Seppuku,8.6,42004
Shichinin no samurai,8.6,315744
It's a Wonderful Life,8.6,405801
Joker,8.5,939252
Whiplash,8.5,717585
The Intouchables,8.5,760360
The Prestige,8.5,1190259
The Departed,8.5,1189773
The Pianist,8.5,729603
Gladiator,8.5,1341460
American History X,8.5,1034705
The Usual Suspects,8.5,991208
Léon,8.5,1035236
The Lion King,8.5,942045
Terminator 2: Judgment Day,8.5,995506
Nuovo Cinema Paradiso,8.5,230763
Hotaru no haka,8.5,235231
Back to the Future,8.5,1058081
Once Upon a Time in the West,8.5,302844
Psycho,8.5,604211
Casablanca,8.5,522093
Modern Times,8.5,217881
City Lights,8.5,167839
Capharnaüm,8.4,62635
Ayla: The Daughter of War,8.4,34112
Vikram Vedha,8.4,28401
Kimi no na wa.,8.4,194838
Dangal,8.4,156479
Spider-Man: Into the Spider-Verse,8.4,375110
Avengers: Endgame,8.4,809955
Avengers: Infinity War,8.4,834477
Coco,8.4,384171
Django Unchained,8.4,1357682
The Dark Knight Rises,8.4,1516346
3 Idiots,8.4,344445
Taare Zameen Par,8.4,168895
WALL·E,8.4,999790
The Lives of Others,8.4,358685
Oldeuboi,8.4,515451
Memento,8.4,1125712
Mononoke-hime,8.4,343171
Once Upon a Time in America,8.4,311365
Raiders of the Lost Ark,8.4,884112
The Shining,8.4,898237
Apocalypse Now,8.4,606398
Alien,8.4,787806
Anand,8.4,30273
Tengoku to jigoku,8.4,34357
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,450474
Witness for the Prosecution,8.4,108862
Paths of Glory,8.4,178092
Rear Window,8.4,444074
Sunset Blvd.,8.4,201632
The Great Dictator,8.4,203150
1917,8.3,425844
Tumbbad,8.3,27793
Andhadhun,8.3,71875
Drishyam,8.3,30722
Jagten,8.3,281623
Jodaeiye Nader az Simin,8.3,220002
Incendies,8.3,150023
